2015,2016,2017,id,miejsce,miejsce2018,nazwa,link,miasto,wsk,znak,profil
287,114,182,19,20,227,Liceum Ogólnokształcące im. B. Prusa,Liceum Ogólnokształcące im. B. Prusa,Skierniewice,47.05,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
500+,500+,326,20,21,234,KLO oo. Bernardynów im. o. Anastazego Pankiewicza,KLO oo. Bernardynów im. o. Anastazego Pankiewicza,Łódź,46.58,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
308,274,255,21,22,283,VIII Liceum Ogólnokształcące im. Adama Asnyka,VIII Liceum Ogólnokształcące im. Adama Asnyka,Łódź,44.92,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
407,335,299,22,23,291,III LO im. Juliusza Słowackiego,III LO im. Juliusza Słowackiego,Piotrków Tryb.,44.64,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-silver.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
220,271,192,23,24,302,I Liceum Ogólnokształcące im. Józefa Chełmońskiego,I Liceum Ogólnokształcące im. Józefa Chełmońskiego,Łowicz,44.25,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
500+,284,272,24,25,310,I LO im. Jędrzeja Śniadeckiego,I LO im. Jędrzeja Śniadeckiego,Pabianice,43.89,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
385,169,310,25,26,314,I LO im. gen. J. H. Dąbrowskiego,I LO im. gen. J. H. Dąbrowskiego,Kutno,43.74,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
273,414,354,26,27,339,II Liceum Ogólnokształcące im. Królowej Jadwigi,II Liceum Ogólnokształcące im. Królowej Jadwigi,Pabianice,42.84,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
500+,237,500+,27,28,357,Ogólnokszt. Szk. Muz. II St. im. H. Wieniawskiego,Ogólnokszt. Szk. Muz. II St. im. H. Wieniawskiego,Łódź,42.50,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
466,494,500+,28,29,360,Liceum Ogólnokształcące im. Jana Pawła II,Liceum Ogólnokształcące im. Jana Pawła II,Kleszczów,42.42,"<a href=""/portal/index.php?option=com_content&view=article&id=3702:znak-jakosci-szkoly-2018&catid=237&Itemid=444""><img src=""http://perspektywy.pl/portal/images/rankingi/tarcza-brown.png"" alt=""Bronzowa szkoła"" style=""width: 25px;""></a>",
